epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,10250,0.70739,0.51608,1.02683,0.96504,0.94768,0.97253,0.89502,0.34599,0.7028,0.72221,0.000518667,0.000518667,0.000518667
154,10323.2,0.70514,0.52123,1.03363,0.96426,0.95064,0.97274,0.89466,0.3456,0.68444,0.72191,0.0005155,0.0005155,0.0005155
155,10385.4,0.71047,0.52451,1.03493,0.96685,0.94965,0.97237,0.89452,0.3448,0.68144,0.72202,0.000512333,0.000512333,0.000512333
156,10455.7,0.71183,0.52807,1.03935,0.96879,0.94979,0.9719,0.89455,0.34405,0.71831,0.72138,0.000509167,0.000509167,0.000509167
157,10517.1,0.70711,0.5254,1.03559,0.96878,0.94955,0.97211,0.89521,0.34318,0.69097,0.72081,0.000506,0.000506,0.000506
158,10586.1,0.70596,0.51782,1.03131,0.96781,0.94968,0.97241,0.89505,0.34309,0.68738,0.72117,0.000502833,0.000502833,0.000502833
159,10654.5,0.70016,0.51511,1.02533,0.96684,0.9497,0.97236,0.89483,0.34276,0.6845,0.72106,0.000499667,0.000499667,0.000499667
160,10720.6,0.70339,0.5246,1.03475,0.96591,0.9511,0.97209,0.89505,0.34298,0.69008,0.7214,0.0004965,0.0004965,0.0004965
161,10781.9,0.70029,0.51453,1.02208,0.96592,0.9513,0.97208,0.89343,0.34268,0.71026,0.72144,0.000493333,0.000493333,0.000493333
162,10852.2,0.69215,0.50935,1.02114,0.96591,0.95086,0.97178,0.89337,0.34262,0.68165,0.72177,0.000490167,0.000490167,0.000490167
163,10913.5,0.70495,0.52068,1.03406,0.96584,0.95064,0.97182,0.89382,0.34236,0.69014,0.72176,0.000487,0.000487,0.000487
164,10987.3,0.6935,0.50651,1.02412,0.96494,0.95082,0.97171,0.89332,0.34257,0.67572,0.72221,0.000483833,0.000483833,0.000483833
165,11056.7,0.69849,0.51201,1.02242,0.96589,0.95028,0.97188,0.89395,0.3428,0.67206,0.72259,0.000480667,0.000480667,0.000480667
166,11117.9,0.70293,0.51215,1.02927,0.96502,0.95306,0.97184,0.89466,0.34203,0.65802,0.72243,0.0004775,0.0004775,0.0004775
167,11178.7,0.69794,0.50779,1.0259,0.966,0.95349,0.97187,0.89358,0.34167,0.65059,0.72234,0.000474333,0.000474333,0.000474333
168,11244.3,0.69421,0.5095,1.02686,0.96697,0.95371,0.97216,0.89415,0.34217,0.63691,0.72301,0.000471167,0.000471167,0.000471167
169,11305.8,0.70385,0.51612,1.02613,0.96599,0.95319,0.97218,0.8947,0.3414,0.6241,0.72259,0.000468,0.000468,0.000468
170,11382.3,0.69493,0.51167,1.02548,0.96501,0.95291,0.97244,0.89488,0.34134,0.60816,0.72216,0.000464833,0.000464833,0.000464833
171,11451.7,0.68602,0.51159,1.02323,0.96496,0.95262,0.97257,0.89538,0.34073,0.58531,0.72144,0.000461667,0.000461667,0.000461667
172,11512.8,0.69899,0.51385,1.02641,0.96536,0.95262,0.97261,0.89534,0.34067,0.58342,0.72131,0.0004585,0.0004585,0.0004585
173,11573.5,0.69124,0.5042,1.02227,0.96788,0.95195,0.97292,0.89514,0.34061,0.58248,0.72084,0.000455333,0.000455333,0.000455333
174,11639.5,0.69987,0.51072,1.02569,0.96706,0.95262,0.97296,0.89607,0.34061,0.57566,0.72071,0.000452167,0.000452167,0.000452167
175,11701.1,0.68508,0.5031,1.02222,0.96785,0.95082,0.97303,0.89558,0.34067,0.57057,0.72065,0.000449,0.000449,0.000449
176,11771.5,0.6891,0.50205,1.02113,0.96925,0.95064,0.97306,0.89569,0.34045,0.56808,0.72056,0.000445833,0.000445833,0.000445833
177,11841.7,0.68736,0.50368,1.0221,0.96589,0.95262,0.97302,0.89567,0.34043,0.55926,0.72066,0.000442667,0.000442667,0.000442667
178,11902,0.6811,0.49689,1.01847,0.96592,0.95064,0.97285,0.89512,0.34008,0.55175,0.72053,0.0004395,0.0004395,0.0004395
